State,High,Low
Albany,86,64
Albuquerque,95,67
Anchorage,66,53
Atlanta,94,76
Atlantic City,76,69
Austin,99,77
Baltimore,73,69
Baton Rouge,94,78
Birmingham,96,75
Boise,87,57
Boston,88,66
Buffalo,86,66
Burlington,87,62
Casper,90,54
Charlotte,92,75
Chattanooga,95,74
Chicago,79,67
Cincinati,75,70
Cleveland,80,68
Colorado Springs,88,59
Columbus,75,68
Concord N.H.,87,57
Dallas-Ft. Worth,92,80
Denver,90,60
Des Moines,81,67
Detroit,82,66
EI Pasco,104,77
Fargo,91,64
Hartford,88,64
Honolulu,87,75
Houston,97,81
Indianapolis,76,69
Jackson,97,78
Jacksonville,94,74
Kansas City,80,68
Key West,90,83
Las Vegas,106,80
Lexington,81,70
Little Rock,87,76
Los Angeles,76,60
Louisville,76,73
Memphis,96,76
Miami,91,81
Milwaukee,74,64
Mpis.St.Paul,82,69
Nashville,93,72
New Orleans,96,80
Nortfolk,80,76
Oklahoma City,95,74
Omaha,83,69
Orlando,96,77
Philiadelphia,80,70
Phoenix,109,85
Pittsburgh,75,68
Portland Me,87,60
Portland Or,73,56
Providence,87,65
Raleigh,83,75
Reno,93,57
Richmond,77,73
Rochester,86,65
Sacramento,86,55
Salt Lake City,98,69
San Antonio,101,79
San Diego,73,64
San Fransisco,72,54
San Jose,80,56
San Juan,88,76
Seattle,68,56
Sioux Falls,85,69
Spokane,74,50
St.Louis,79,70
St.Tomas,91,81
Syracuse,85,65
Tampa,91,80
Toledo,79,64
Tucson,102,75
Tulsa,91,78
Virginia Beach,80,78
Washington,73,72
Wichita,90,72
Wilmington Del.,78,69